activity_date,activity_category,activity_type,sport_type,distance_km,duration_min,moving_duration_min,avg_hr,max_hr,training_load,aerobic_training_effect,anaerobic_training_effect
2022-07-21,run,running,RUNNING,0.171,1.25,1.16,123.0,152.0,2.1,0.2,0.0
2022-07-21,run,running,RUNNING,0.0,0.14,0.14,71.0,74.0,0.0,0.0,0.0
2022-07-21,other,walking,STEPS,0.479,22.44,5.48,78.0,111.0,1.1,0.1,0.0
2022-07-22,other,breathwork,TRAINING,0.0,1.51,1.51,58.0,60.0,0.0,0.0,0.0
2022-07-22,run,running,RUNNING,3.132,22.47,20.61,148.0,177.0,56.8,2.8,0.1
2022-07-22,run,running,RUNNING,4.414,16.98,16.98,201.5,214.0,259.7,4.5,3.0
2022-07-22,run,running,RUNNING,0.22,0.69,0.65,139.0,153.0,1.7,0.1,0.0
2022-07-25,run,running,RUNNING,6.278,30.18,29.53,176.0,205.0,199.0,4.0,2.7
2022-07-28,run,running,RUNNING,4.006,20.19,20.11,166.0,191.0,96.7,3.2,0.3
2022-07-28,run,running,RUNNING,0.938,4.48,4.48,165.0,183.0,21.6,1.6,0.1
2022-07-28,run,running,RUNNING,2.588,22.16,17.51,143.0,201.0,38.8,2.1,0.4
2022-07-31,other,walking,STEPS,2.395,31.86,29.67,88.0,104.0,3.1,0.2,0.0
2022-07-31,other,walking,STEPS,2.219,32.59,29.22,105.0,134.0,6.5,0.5,0.0
2022-08-01,run,running,RUNNING,4.695,24.95,24.3,171.0,191.0,102.4,3.3,0.0
2022-08-01,run,running,RUNNING,2.499,23.29,21.21,146.0,187.0,38.4,2.2,0.3
2022-08-01,other,hiking,HIKING,0.257,4.32,3.88,97.0,120.0,1.1,0.0,0.0
2022-08-01,other,hiking,HIKING,3.308,47.88,44.75,96.0,137.0,5.2,0.4,0.0
2022-08-02,other,hiking,HIKING,0.432,5.6,5.43,82.0,98.0,0.5,0.0,0.0
2022-08-02,other,hiking,HIKING,1.955,44.21,36.68,121.0,158.0,17.3,1.2,0.1
2022-08-02,other,hiking,HIKING,2.62,41.76,37.32,89.0,138.0,4.3,0.3,0.0
2022-08-02,run,running,RUNNING,2.917,16.12,15.25,162.0,183.0,55.7,2.6,0.0
2022-08-02,run,running,RUNNING,3.376,20.17,19.82,171.0,198.0,94.9,3.0,1.8
2022-08-03,bike,mountain_biking,CYCLING,10.832,54.91,41.65,106.0,152.0,8.9,0.6,0.0
2022-08-03,bike,mountain_biking,CYCLING,10.232,47.02,45.87,141.0,187.0,80.1,2.6,1.9
2022-08-03,other,hiit,HIIT,0.0,0.35,0.22,73.0,84.0,0.0,0.0,0.0
2022-08-04,other,open_water_swimming,SWIMMING,0.0,0.03,0.03,77.0,77.0,0.0,0.0,0.0
2022-08-04,other,multi_sport,MULTISPORT,0.0,0.27,0.27,,78.0,0.0,0.0,0.0
2022-08-04,other,open_water_swimming,SWIMMING,0.0,0.07,0.07,76.0,78.0,0.0,0.0,0.0
2022-08-04,other,transition_v2,GENERIC,0.0,0.02,0.02,74.0,74.0,0.0,0.0,0.0
2022-08-04,bike,cycling,CYCLING,0.0,0.09,0.09,74.0,74.0,0.0,0.0,0.0
2022-08-04,other,transition_v2,GENERIC,0.0,0.03,0.03,72.0,73.0,0.0,0.0,0.0
2022-08-04,run,running,RUNNING,0.0,0.07,0.07,72.0,75.0,0.0,0.0,0.0
2022-08-04,run,running,RUNNING,1.609,16.35,12.03,132.0,167.0,20.6,1.1,0.5
2022-08-04,run,running,RUNNING,5.265,20.58,20.55,201.0,211.0,276.9,4.4,3.0
2022-08-04,other,walking,STEPS,1.862,40.73,19.25,93.0,138.0,3.9,0.3,0.0
2022-08-05,other,walking,STEPS,3.312,43.04,38.74,93.0,130.0,4.3,0.3,0.0
2022-08-05,bike,mountain_biking,CYCLING,2.342,25.02,21.47,108.0,151.0,8.9,0.5,0.1
2022-08-05,other,walking,STEPS,4.894,65.66,62.52,82.0,115.0,6.6,0.5,0.0
2022-08-06,bike,mountain_biking,CYCLING,15.719,121.82,106.72,147.0,194.0,163.8,3.6,2.0
2022-08-07,run,running,RUNNING,6.582,31.31,31.25,180.0,201.0,168.9,3.8,1.0
2022-08-07,run,running,RUNNING,0.512,3.84,2.24,154.0,184.0,16.1,0.9,0.3
2022-08-08,run,running,RUNNING,2.608,13.5,13.49,159.0,183.0,51.9,2.5,0.0
2022-08-08,run,running,RUNNING,3.016,14.42,14.4,172.0,190.0,67.0,2.8,0.0
2022-08-09,run,running,RUNNING,3.74,17.77,17.73,175.0,196.0,82.9,3.0,0.0
2022-08-09,run,running,RUNNING,1.807,9.46,9.46,158.0,174.0,29.3,2.0,0.0
2022-08-10,run,running,RUNNING,1.059,5.88,5.67,149.0,164.0,14.1,1.0,0.0
2022-08-10,run,running,RUNNING,6.578,27.19,27.15,190.0,202.0,189.5,3.8,1.7
2022-08-10,run,running,RUNNING,1.075,6.57,6.28,145.0,162.0,12.0,0.9,0.0
2022-08-12,run,running,RUNNING,1.816,9.23,9.22,157.0,175.0,33.1,2.1,0.0
2022-08-12,run,running,RUNNING,3.515,43.6,29.77,127.0,150.0,16.5,1.1,0.0
2022-08-12,run,running,RUNNING,1.202,7.18,6.92,143.0,163.0,14.4,1.0,0.0
2022-08-12,run,track_running,RUNNING,2.58,16.92,12.62,150.0,195.0,47.5,2.1,1.0
2022-08-12,run,track_running,RUNNING,2.99,25.32,18.28,146.0,190.0,62.3,2.2,1.8
2022-08-13,run,running,RUNNING,1.791,8.6,8.42,162.0,182.0,32.6,2.1,0.0
2022-08-13,run,running,RUNNING,7.06,50.99,40.17,149.0,198.0,87.1,2.8,1.1
2022-08-13,run,running,RUNNING,1.572,11.13,9.7,143.0,168.0,22.4,1.6,0.0
2022-08-14,run,running,RUNNING,1.275,9.14,9.13,141.0,155.0,12.6,0.9,0.0
2022-08-14,run,running,RUNNING,5.469,22.13,21.95,187.0,210.0,169.4,3.6,1.8
2022-08-15,other,hiking,HIKING,16.804,362.15,264.83,92.0,145.0,13.3,1.0,0.0
2022-08-15,run,trail_running,RUNNING,0.618,2.73,2.7,137.0,162.0,11.6,0.8,0.0
2022-08-18,run,running,RUNNING,2.006,9.39,9.12,168.0,184.0,66.3,2.6,0.5
2022-08-18,run,track_running,RUNNING,5.77,41.52,34.7,158.0,209.0,148.4,3.0,2.6
2022-08-19,run,running,RUNNING,3.905,19.5,19.17,161.0,181.0,82.1,3.0,0.5
2022-08-19,run,running,RUNNING,2.215,22.23,15.91,139.0,181.0,37.0,1.7,0.9
2022-08-19,run,running,RUNNING,0.532,3.71,3.53,153.0,167.0,8.6,0.6,0.0
2022-08-19,bike,mountain_biking,CYCLING,3.882,11.69,11.05,143.0,176.0,39.8,2.0,0.9
2022-08-19,run,running,RUNNING,0.115,0.46,0.43,126.0,139.0,0.6,0.0,0.0
