athlete_id,race_date,fidal_event,race_name,distance_m,official_time_seconds,official_time_text,official_performance_raw,surface_type,timing_type,category,placement,wind,city,source,source_url,analysis_scope,include_in_race_context,notes,confidence_level
single_athlete_001,2019-04-27,60 Hs H 60,60 Hs H 60 - Scorze',60,12.01,12.01,12.01,Pista,Elettrico,RM,3 se- 4,,Scorze',FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2019-04-27,Vortex,Vortex - Scorze',,21.52,21.52,21.52,Pista,,RM,10 se- 2,,Scorze',FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,field_or_multi_event,no,Stored in FIDAL results inventory but excluded from race-context windows because it is not a timed running/race-walk performance.,high
single_athlete_001,2019-06-02,60 Hs H 60,60 Hs H 60 - Martellago,60,12.3,12.3,12.3,Pista,Manuale,RM,5 se- 4,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2019-06-02,600 metri,600 metri - Martellago,600,129.6,2:09.6,2:09.6,Pista,Manuale,RM,6 se- 2,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2019-06-02,Salto in lungo/LJ,Salto in lungo/LJ - Martellago,,2.82,2.82,2.82,Pista,,RM,32 su- 1,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,field_or_multi_event,no,Stored in FIDAL results inventory but excluded from race-context windows because it is not a timed running/race-walk performance.,high
single_athlete_001,2019-06-02,TETRATHLON,TETRATHLON - Martellago,,938.0,938,938,Pista,,RM,32 su- 1,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,field_or_multi_event,no,Stored in FIDAL results inventory but excluded from race-context windows because it is not a timed running/race-walk performance.,high
single_athlete_001,2019-06-02,Vortex,Vortex - Martellago,,18.82,18.82,18.82,Pista,,RM,38 su- 1,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,field_or_multi_event,no,Stored in FIDAL results inventory but excluded from race-context windows because it is not a timed running/race-walk performance.,high
single_athlete_001,2019-06-04,1000 metri,1000 metri - Martellago,1000,219.0,3:39.0,3:39.0,Pista,Manuale,RM,9 su- 1,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2019-06-04,60 Hs H 60,60 Hs H 60 - Martellago,60,11.6,11.6,11.6,Pista,Manuale,RM,3 se- 1,,Martellago,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2019-06-11,Marcia 2000m,Marcia 2000m - Marcon,2000,1056.64,17:36.64,17:36.64,Pista,Elettrico,RM,2 su- 1,,Marcon,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,race_walk,yes,,high
