race_date,fidal_event,official_time_text,hrv_export_days_7d,hrv_screenshot_days_7d,hrv_combined_days_7d,rhr_export_days_7d,rhr_screenshot_days_7d,rhr_combined_days_7d,hrv_export_days_14d,hrv_screenshot_days_14d,hrv_combined_days_14d,rhr_export_days_14d,rhr_screenshot_days_14d,rhr_combined_days_14d,hrv_export_days_28d,hrv_screenshot_days_28d,hrv_combined_days_28d,rhr_export_days_28d,rhr_screenshot_days_28d,rhr_combined_days_28d,hrv_export_days_56d,hrv_screenshot_days_56d,hrv_combined_days_56d,rhr_export_days_56d,rhr_screenshot_days_56d,rhr_combined_days_56d
2023-04-01,3000 metri,10:11.12,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2023-05-01,3000 metri,10:21.75,0,7,7,0,1,1,0,13,13,0,2,2,0,27,27,0,4,4,0,55,55,0,8,8
2023-05-13,1500 metri,4:35.28,0,7,7,0,1,1,0,14,14,0,2,2,0,27,27,0,4,4,0,55,55,0,8,8
2023-05-27,1500 metri,4:30.99,0,6,6,0,1,1,0,13,13,0,2,2,0,27,27,0,4,4,0,54,54,0,8,8
2023-05-28,5000 metri,18:13.91,0,7,7,0,1,1,0,13,13,0,2,2,0,27,27,0,4,4,0,54,54,0,8,8
2023-06-13,2000 siepi H84,6:52.10,0,7,7,0,0,0,0,14,14,0,1,1,0,27,27,0,3,3,0,54,54,0,7,7
2023-09-09,1500 metri,4:22.83,0,7,7,0,1,1,0,14,14,0,2,2,0,27,27,0,4,4,0,55,55,0,8,8
2023-09-10,3000 metri,9:43.52,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,55,55,0,8,8
2024-01-27,1500 metri,4:30.80,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2024-04-14,Corsa 30' Allievi,30:00,0,7,7,0,1,1,0,14,14,0,2,2,0,27,27,0,4,4,0,55,55,0,8,8
2024-06-28,3000 metri,9:52.80,0,7,7,0,1,1,0,13,13,0,2,2,0,27,27,0,3,3,0,55,55,0,7,7
2024-07-27,5000 metri,16:50.28,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,55,55,0,7,7
2024-08-03,3000 metri,9:18.53,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,55,55,0,8,8
2024-09-08,5000 metri,16:16.13,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2024-09-15,corsa km 5 strada,16:31,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2024-10-06,Corsa strada Km 10,34:14,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2025-01-18,3000 metri,9:12.22,0,7,7,0,1,1,0,14,14,0,2,2,0,27,27,0,4,4,0,55,55,0,8,8
2025-02-09,3000 metri,9:06.25,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,55,55,0,8,8
2025-05-10,1500 metri,4:25.56,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2025-05-24,1500 metri,4:23.47,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,8,8
2025-06-29,5000 metri,16:02.66,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,3,3,0,56,56,0,6,6
2025-07-23,1500 metri,4:10.61,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,56,56,0,6,6
2025-08-23,800 metri,2:05.66,0,7,7,0,1,1,0,13,13,0,2,2,0,26,26,0,4,4,0,54,54,0,8,8
2025-09-06,1500 metri,4:15.27,0,7,7,0,1,1,0,14,14,0,2,2,0,27,27,0,4,4,0,54,54,0,8,8
2025-09-07,5000 metri,15:59.98,0,7,7,0,1,1,0,14,14,0,2,2,0,28,28,0,4,4,0,54,54,0,8,8
2025-09-28,5000 metri,15:54.20,7,7,7,7,1,7,10,14,14,10,2,10,10,28,28,10,4,12,10,54,54,10,8,16
2026-05-01,3000 metri,9:11.10,7,7,7,7,1,7,13,14,14,13,2,13,27,28,28,27,4,27,55,55,56,55,8,55
2026-05-17,5000 metri,15:54.63,7,7,7,7,1,7,14,14,14,14,2,14,27,28,28,27,4,27,55,56,56,55,8,55
2026-05-30,5000 metri,15:43.94,7,7,7,7,0,7,13,14,14,13,1,13,27,28,28,27,3,27,54,56,56,54,7,54
