source_image,metric_type,start_date,end_date,date,value,unit,extraction_confidence,notes
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-08,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-09,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-10,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-11,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-12,59.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-13,59.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-14,59.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-15,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-16,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-17,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-18,59.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-19,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-20,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-21,61.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-22,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-23,61.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-24,61.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-25,63.4,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-26,63.4,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-27,61.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-28,60.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-29,61.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,2026-05-30,59.5,ms,high,"Digitized from Garmin HRV Status 4-week graph; marker=green; approximate 7-day HRV status value, not raw nightly exact value."
