athlete_id,race_date,race_name,fidal_event,distance_m,official_time_seconds,official_time_text,official_performance_raw,surface_type,timing_type,category,placement,city,source,source_url,analysis_scope,notes,pb_at_distance_seconds,relative_performance_pct,pace_sec_per_km,garmin_match_status,garmin_activity_type,garmin_sport_type,garmin_distance_km,garmin_moving_duration_min,garmin_time_seconds,garmin_distance_delta_m,garmin_time_delta_seconds,garmin_pace_sec_per_km,suspicious_mismatch_flag,garmin_match_notes,run_km_7d,run_km_14d,run_km_28d,run_km_56d,run_duration_min_7d,run_duration_min_14d,run_duration_min_28d,run_duration_min_56d,bike_duration_min_7d,bike_duration_min_28d,total_training_duration_min_7d,total_training_duration_min_28d,sleep_avg_hours_7d,sleep_avg_hours_14d,sleep_avg_hours_28d,sleep_need_avg_hours_7d,sleep_need_avg_hours_14d,sleep_need_avg_hours_28d,hrv_avg_7d,hrv_avg_14d,hrv_avg_28d,rhr_avg_7d,rhr_avg_14d,rhr_avg_28d,vo2max_nearest,acute_load_nearest,training_status_nearest,race_prediction_5k_nearest,race_prediction_10k_nearest,injury_flag,injury_notes,heat_or_weather_notes,tactical_race_flag,confidence_level
single_athlete_001,2023-04-01,3000 metri - Venezia,3000 metri,3000,611.12,10:11.12,10:11.12,Pista,Elettrico,AM,1 su- 1,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,,11.88,203.71,matched,track_running,RUNNING,3.01,10.16,609.6,10.0,-1.52,202.52,,Best same-day Garmin run selected by distance and duration closeness.,37.28,77.96,122.87,156.88,194.27,406.13,643.65,821.28,0.0,0.0,291.12,826.29,7.58,7.6,7.59,,,,,,,,,,67.0,660,MAINTAINING,1100,2361,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-05-01,3000 metri - Padova,3000 metri,3000,621.75,10:21.75,10:21.75,Pista,Elettrico,AM,6 se- 2,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,611.12,13.82,207.25,matched,track_running,RUNNING,3.01,10.32,619.2,10.0,-2.55,205.71,,Best same-day Garmin run selected by distance and duration closeness.,34.66,77.76,151.3,278.86,187.99,419.98,800.37,1463.76,0.0,0.0,294.54,1097.35,7.84,7.67,7.57,,,,,,,,,,67.0,641,MAINTAINING,1077,2321,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-05-13,1500 metri - Padova,1500 metri,1500,275.28,4:35.28,4:35.28,Pista,Elettrico,AM,3 se- 5,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,,9.84,183.52,matched,track_running,RUNNING,1.51,4.53,271.8,10.0,-3.48,180.0,,Best same-day Garmin run selected by distance and duration closeness.,55.63,88.45,163.22,319.41,285.95,442.95,848.97,1655.23,0.0,0.0,433.92,1275.76,7.42,7.44,7.53,,,,,,,,,,67.0,967,MAINTAINING,1054,2264,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-05-27,1500 metri - Caorle,1500 metri,1500,270.99,4:30.99,4:30.99,Pista,Elettrico,AM,8 se- 3,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,275.28,8.13,180.66,matched,track_running,RUNNING,1.5,4.48,268.8,0.0,-2.19,179.2,,Best same-day Garmin run selected by distance and duration closeness.,45.23,91.59,180.04,333.04,260.72,496.51,939.46,1745.61,0.0,0.0,471.29,1557.84,7.47,7.59,7.51,,,,,,,,,,67.0,809,MAINTAINING,1027,2224,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-05-28,5000 metri - Caorle,5000 metri,5000,1093.91,18:13.91,18:13.91,Pista,Elettrico,AM,12 se- 2,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,,15.89,218.78,matched,track_running,RUNNING,4.99,18.18,1090.8,-10.0,-3.11,218.6,,Best same-day Garmin run selected by distance and duration closeness.,50.95,92.19,182.77,334.07,288.25,499.56,953.03,1753.4,0.0,0.0,498.82,1571.41,7.61,7.62,7.54,,,,,,,,,,67.0,875,MAINTAINING,1030,2231,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-06-13,2000 siepi H84 - Venezia,2000 siepi H84,2000,412.1,6:52.10,6:52.10,Pista,Elettrico,AM,7 su- 1,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,,0.0,206.05,matched,track_running,RUNNING,2.02,6.82,409.2,20.0,-2.9,202.57,,Best same-day Garmin run selected by distance and duration closeness.,44.47,97.41,181.7,362.68,235.88,525.86,989.93,1926.16,0.0,0.0,367.32,1603.86,7.71,7.68,7.64,,,,,,,,,,67.0,662,MAINTAINING,1063,2277,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-09-09,1500 metri - Venezia,1500 metri,1500,262.83,4:22.83,4:22.83,Pista,Elettrico,AM,12 se- 1,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,270.99,4.88,175.22,matched,track_running,RUNNING,1.51,4.33,259.8,10.0,-3.03,172.05,,Best same-day Garmin run selected by distance and duration closeness.,50.92,107.11,193.32,417.58,243.47,544.04,1023.93,2272.28,0.0,0.0,314.06,1414.82,7.91,8.24,8.06,,,,,,,,,,67.0,937,MAINTAINING,1080,2302,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2023-09-10,3000 metri - Venezia,3000 metri,3000,583.52,9:43.52,9:43.52,Pista,Elettrico,AM,6 su- 1,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,611.12,6.82,194.51,matched,track_running,RUNNING,3.01,9.7,582.0,10.0,-1.52,193.36,,Best same-day Garmin run selected by distance and duration closeness.,56.16,95.35,186.5,409.51,267.83,477.13,982.33,2225.22,0.0,0.0,338.42,1373.22,8.36,8.23,8.15,,,,,,,,,,67.0,938,MAINTAINING,1080,2302,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2024-01-27,1500 metri - Padova,1500 metri,1500,270.8,4:30.80,4:30.80,Indoor,Elettrico,AM,6 se- 6,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,,262.83,8.06,180.53,matched,running,RUNNING,0.979,5.57,334.2,-521.0,63.4,341.37,yes,Best same-day Garmin run selected by distance and duration closeness. Distance or duration differs enough to require manual review.,42.86,89.35,182.61,402.57,224.4,457.72,930.57,2086.16,0.0,0.0,437.99,1614.03,8.07,7.8,7.85,,,,,,,,,,66.0,774,MAINTAINING,1064,2257,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
single_athlete_001,2024-04-14,Corsa 30' Allievi - Treviso,Corsa 30' Allievi,8154,1800.0,30:00,8154,Pista,Non specificato,AM,4 su- 1,Treviso,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,FIDAL performance is distance covered in 30 minutes: 8154 m.,,0.0,220.75,matched,track_running,RUNNING,8.16,30.0,1800.0,6.0,0.0,220.59,,Best same-day Garmin run selected by distance and duration closeness.,40.9,101.58,248.15,440.71,210.79,523.12,1291.11,2287.49,0.0,0.0,389.37,1866.7,6.84,7.48,7.73,,,,,,,,,,66.0,655,RECOVERY,1061,2255,,"No race-specific injury note found in the current vault. A 2026 lower-leg issue is documented, but dates are not precise enough to attach to this race.",,,high
