source_image,metric_type,date,estimated_value,unit,extraction_confidence,y_axis_scale_available,notes
IMG_6391.PNG,RHR,2025-06-13,48.6,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-06-20,46.8,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-06-27,46.0,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-07-04,47.4,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-07-11,46.8,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-07-18,46.6,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-07-25,45.7,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-08-01,46.3,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-08-08,48.6,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-08-15,47.7,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-08-22,47.1,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-08-29,45.7,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-09-05,45.1,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
IMG_6391.PNG,RHR,2025-09-12,44.0,bpm,medium,yes,"Digitized from Garmin annual heart-rate graph; blue series is weekly resting-heart-rate average, not a daily exact RHR value."
