variable,label,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,abs_pearson,direction_for_better_performance,evidence_note
run_km_56d,Run km 56d,29,0.633,0.0002,0.347,0.8113,0.5912,0.0007,0.2868,0.7871,0.633,Higher variable associated with better event-relative performance.,Statistically notable in this dataset; not causal.
run_km_28d,Run km 28d,29,0.6296,0.0003,0.342,0.8093,0.5536,0.0018,0.2347,0.7649,0.6296,Higher variable associated with better event-relative performance.,Statistically notable in this dataset; not causal.
sleep_avg_hours_28d,Sleep avg 28d,29,0.5796,0.001,0.2706,0.7804,0.4188,0.0237,0.0618,0.6808,0.5796,Higher variable associated with better event-relative performance.,Statistically notable in this dataset; not causal.
run_km_14d,Run km 14d,29,0.5045,0.0053,0.1693,0.7351,0.401,0.0311,0.0405,0.6692,0.5045,Higher variable associated with better event-relative performance.,Statistically notable in this dataset; not causal.
sleep_avg_hours_14d,Sleep avg 14d,29,0.4034,0.03,0.0433,0.6707,0.3251,0.0853,-0.047,0.618,0.4034,Higher variable associated with better event-relative performance.,Statistically notable in this dataset; not causal.
vo2max_nearest,VO2max nearest,29,0.3782,0.0431,0.0136,0.6541,0.3854,0.039,0.022,0.6588,0.3782,Higher variable associated with better event-relative performance.,Statistically notable in this dataset; not causal.
hrv_avg_14d,HRV avg 14d,4,-0.3594,0.6406,-0.9815,0.9192,0.2,0.8,-0.9422,0.9739,0.3594,Higher variable associated with worse event-relative performance.,Very sparse; treat as descriptive only.
hrv_avg_7d,HRV avg 7d,4,-0.2921,0.7079,-0.9785,0.9301,0.0,1.0,-0.9611,0.9611,0.2921,Higher variable associated with worse event-relative performance.,Very sparse; treat as descriptive only.
hrv_avg_28d,HRV avg 28d,4,-0.2908,0.7092,-0.9784,0.9303,-0.6,0.4,-0.9901,0.8529,0.2908,Higher variable associated with worse event-relative performance.,Very sparse; treat as descriptive only.
acute_load_nearest,Acute load nearest,29,-0.2159,0.2607,-0.5397,0.1636,-0.3007,0.113,-0.601,0.074,0.2159,Higher variable associated with worse event-relative performance.,Little linear signal in this dataset.
rhr_avg_7d,RHR proxy 7d,4,0.1631,0.8369,-0.9463,0.9718,0.6,0.4,-0.8529,0.9901,0.1631,Higher variable associated with better event-relative performance.,Very sparse; treat as descriptive only.
run_km_7d,Run km 7d,29,0.1579,0.4132,-0.2214,0.4957,0.0834,0.6671,-0.292,0.4366,0.1579,Higher variable associated with better event-relative performance.,Little linear signal in this dataset.
sleep_avg_hours_7d,Sleep avg 7d,29,0.1348,0.4857,-0.2438,0.4777,0.1825,0.3433,-0.1972,0.5146,0.1348,Higher variable associated with better event-relative performance.,Little linear signal in this dataset.
rhr_avg_28d,RHR proxy 28d,4,-0.1088,0.8912,-0.9686,0.9518,0.0,1.0,-0.9611,0.9611,0.1088,Higher variable associated with worse event-relative performance.,Very sparse; treat as descriptive only.
rhr_avg_14d,RHR proxy 14d,4,0.0569,0.9431,-0.9565,0.9652,0.6,0.4,-0.8529,0.9901,0.0569,Higher variable associated with better event-relative performance.,Very sparse; treat as descriptive only.
