race_date,event,hrv_export_days_28d,hrv_screenshot_points_28d,hrv_combined_points_28d,rhr_export_days_28d,rhr_screenshot_points_28d,rhr_combined_points_28d
2023-04-01,3000 metri,0,28,28,0,4,4
2023-05-01,3000 metri,0,27,27,0,4,4
2023-05-13,1500 metri,0,27,27,0,4,4
2023-05-27,1500 metri,0,27,27,0,4,4
2023-05-28,5000 metri,0,27,27,0,4,4
2023-06-13,2000 siepi H84,0,27,27,0,3,3
2023-09-09,1500 metri,0,27,27,0,4,4
2023-09-10,3000 metri,0,28,28,0,4,4
2024-01-27,1500 metri,0,28,28,0,4,4
2024-04-14,Corsa 30' Allievi,0,27,27,0,4,4
2024-06-28,3000 metri,0,27,27,0,3,3
2024-07-27,5000 metri,0,28,28,0,4,4
2024-08-03,3000 metri,0,28,28,0,4,4
2024-09-08,5000 metri,0,28,28,0,4,4
2024-09-15,corsa km 5 strada,0,28,28,0,4,4
2024-10-06,Corsa strada Km 10,0,28,28,0,4,4
2025-01-18,3000 metri,0,27,27,0,4,4
2025-02-09,3000 metri,0,28,28,0,4,4
2025-05-10,1500 metri,0,28,28,0,4,4
2025-05-24,1500 metri,0,28,28,0,4,4
2025-06-29,5000 metri,0,28,28,0,3,3
2025-07-23,1500 metri,0,28,28,0,4,4
2025-08-23,800 metri,0,26,26,0,4,4
2025-09-06,1500 metri,0,27,27,0,4,4
2025-09-07,5000 metri,0,28,28,0,4,4
2025-09-28,5000 metri,10,28,28,10,4,12
2026-05-01,3000 metri,27,28,28,27,4,27
2026-05-17,5000 metri,27,28,28,27,4,27
2026-05-30,5000 metri,27,28,28,27,3,27
